债券代码,债券简称,申购日期,申购代码,申购上限,正股代码,正股简称,正股价,转股价,转股价值,债现价,转股溢价率,原股东配售-股权登记日,原股东配售-每股配售额,发行规模,中签号发布日,中签率,上市时间
113631,皖天转债,2021-11-08,754689,100.0,603689,皖天然气,11.0,11.12,98.9208633093525,100.0,1.09090909090912,2021-11-05,2.767,9.3,2021-11-10,,
111001,山玻转债,2021-11-08,713006,100.0,605006,山东玻纤,14.15,13.91,101.725377426312,100.0,-1.69611307420493,2021-11-05,1.2,6.0,2021-11-10,,
123129,锦鸡转债,2021-11-04,370798,100.0,300798,锦鸡股份,9.3,9.53,97.5865687303253,100.0,2.47311827956989,2021-11-03,1.4362,6.0,2021-11-08,0.0041304969,
127049,希望转2,2021-11-02,070876,100.0,000876,新希望,16.2,14.45,112.110726643599,100.0,-10.8024691358028,2021-11-01,1.8374,81.5,2021-11-04,0.0230951278,
123128,首华转债,2021-11-01,370483,100.0,300483,首华燃气,19.46,25.02,77.7777777777778,100.0,28.5714285714285,2021-10-29,5.1371,13.794971,2021-11-03,0.0113842934,
123127,耐普转债,2021-10-29,370818,100.0,300818,耐普矿机,35.07,37.0,94.7837837837838,100.0,5.50327915597375,2021-10-28,5.787,4.0,2021-11-02,0.0032734062,
110082,宏发转债,2021-10-28,733885,100.0,600885,宏发股份,74.5,72.28,103.071389042612,100.0,-2.97986577181202,2021-10-27,2.685,20.0,2021-11-01,0.0084696,
113630,赛伍转债,2021-10-27,754212,100.0,603212,赛伍技术,31.2,32.9,94.8328267477204,100.0,5.44871794871791,2021-10-26,1.749,7.0,2021-10-29,0.00355375,
127048,中大转债,2021-10-26,072896,100.0,002896,中大力德,20.6,22.1,93.2126696832579,100.0,7.28155339805827,2021-10-25,2.5961,2.7,2021-10-28,0.0014588823,
127047,帝欧转债,2021-10-25,072798,100.0,002798,帝欧家居,14.01,13.53,103.547671840355,100.0,-3.42612419700236,2021-10-22,3.877,15.0,2021-10-27,0.0079135913,
127046,百润转债,2021-09-29,072568,100.0,002568,百润股份,68.37,66.89,102.2126,140.5,37.46,2021-09-28,1.5064,11.28,2021-10-08,0.0013496701,2021-11-03
113629,泉峰转债,2021-09-14,754982,100.0,603982,泉峰汽车,35.0,23.03,151.9757,164.98,8.56,2021-09-13,3.078,6.2,2021-09-16,0.00375771,2021-10-21
123126,瑞丰转债,2021-09-10,370243,100.0,300243,瑞丰高材,13.2,17.8,74.1573,111.15,49.88,2021-09-09,1.4634,3.4,2021-09-14,0.0012073386,2021-10-18
123125,元力转债,2021-09-06,370174,100.0,300174,元力股份,15.92,17.61,90.4032,118.08,30.61,2021-09-03,2.8824,9.0,2021-09-08,0.0050720323,2021-09-30
